,PlayerName,Events,Rounds,CutsMade,Top10s,Wins,CupPoints,Earnings,YardsPerDrive,DrivingAcc,DriveTotal,GreensInReg,PuttAvg,SavePct,Age,Eagles,Birdies,Pars,Bogeys,BirdiesPerRound,HolesPerEagle,PlayerID
101,Patrick Rodgers,18,51,10,1,0,459,1046838,299.8,57.2,52,64.7,1.761,46.1,27,7.0,187.0,566.0,143.0,3.667,131.0,107
102,Brian Gay,28,89,19,2,0,415,1029440,274.9,70.2,186,64.4,1.758,48.3,48,7.0,313.0,1031.0,222.0,3.517,229.0,108
103,Matt Jones,27,84,17,2,0,515,1024852,294.1,62.2,94,66.6,1.758,53.1,39,9.0,312.0,984.0,185.0,3.714,168.0,109
104,Mackenzie Hughes,25,76,15,2,0,479,1022081,297.2,58.0,68,65.3,1.77,40.7,29,5.0,282.0,865.0,197.0,3.7110000000000003,274.0,110
105,Brice Garnett,28,85,15,2,0,466,1019594,287.4,71.5,155,69.5,1.766,44.4,36,7.0,320.0,982.0,205.0,3.765,219.0,111
106,Roger Sloan,27,84,17,3,0,505,1015661,295.8,61.8,84,65.1,1.739,56.5,32,8.0,328.0,924.0,222.0,3.905,189.0,112
107,Nick Watney,26,83,17,3,0,480,1008964,301.7,59.3,40,68.6,1.765,50.4,38,6.0,329.0,935.0,192.0,3.964,249.0,113
108,Scott Brown,27,82,15,4,0,442,999457,288.6,65.4,145,66.5,1.777,50.0,36,11.0,294.0,942.0,201.0,3.585,134.0,114
109,Patton Kizzire,25,74,13,1,0,406,995341,294.9,60.7,91,64.0,1.7280000000000002,50.4,34,9.0,267.0,837.0,185.0,3.608,148.0,115
110,Ryan Armour,28,92,17,1,0,475,955468,277.9,73.8,183,67.6,1.771,53.6,44,3.0,346.0,1067.0,224.0,3.761,552.0,116
111,Sebastian Munoz,26,80,16,3,0,423,946666,298.8,59.8,58,68.3,1.7469999999999999,48.8,27,10.0,323.0,886.0,200.0,4.038,144.0,117
112,Sepp Straka,25,72,13,1,0,432,934894,304.4,63.9,22,69.1,1.7519999999999998,41.1,26,8.0,302.0,768.0,195.0,4.194,162.0,118
113,Jason Dufner,25,72,13,2,0,327,926365,290.1,67.8,129,70.8,1.796,50.7,43,6.0,265.0,809.0,191.0,3.681,216.0,119
114,Denny McCarthy,28,81,16,2,0,443,925156,290.8,65.8,122,66.0,1.72,48.8,27,4.0,344.0,907.0,188.0,4.247,365.0,120
115,Alexander Noren,0,60,14,0,0,367,913446,301.1,62.4,43,65.3,1.7890000000000001,44.5,37,5.0,203.0,682.0,169.0,3.383,216.0,121
116,Kelly Kraft,31,81,12,3,0,399,905681,290.2,61.6,126,62.4,1.74,48.6,31,7.0,295.0,893.0,235.0,3.642,208.0,122
117,Aaron Baddeley,18,55,10,3,0,428,904982,286.3,57.7,162,63.3,1.722,54.5,39,4.0,208.0,639.0,125.0,3.782,248.0,123
118,Nick Taylor,28,93,21,1,0,408,892663,292.1,61.7,111,67.3,1.7480000000000002,46.8,31,10.0,350.0,1065.0,236.0,3.763,167.0,124
119,Andrew Landry,25,74,15,1,0,481,887405,286.8,71.7,159,67.1,1.758,50.0,32,2.0,284.0,839.0,185.0,3.838,666.0,125
120,Peter Malnati,26,83,18,1,0,423,864496,292.2,54.6,110,64.0,1.732,50.0,32,5.0,320.0,945.0,201.0,3.855,299.0,127
121,Martin Laird,26,80,18,4,0,408,863054,298.9,63.1,57,69.9,1.787,49.1,37,17.0,287.0,929.0,188.0,3.588,85.0,128
122,Wes Roach,21,63,13,2,0,345,860264,294.1,65.9,93,67.6,1.757,40.7,31,7.0,230.0,740.0,145.0,3.6510000000000002,162.0,129
123,Richy Werenski,27,83,17,1,0,374,851329,293.6,61.3,101,65.9,1.76,45.2,28,11.0,304.0,948.0,208.0,3.6630000000000003,136.0,130
124,Peter Uihlein,29,78,14,2,0,353,842991,297.5,50.6,64,66.0,1.7619999999999998,55.4,30,7.0,294.0,876.0,199.0,3.7689999999999997,201.0,131
125,Jonas Blixt,26,76,15,1,0,392,838271,289.4,64.3,138,65.1,1.7519999999999998,46.6,35,9.0,281.0,864.0,193.0,3.697,152.0,132
126,Austin Cook,23,64,12,2,0,364,837788,291.0,70.3,120,65.7,1.7530000000000001,48.9,29,9.0,252.0,690.0,179.0,3.938,128.0,133
127,Bronson Burgoon,20,55,9,2,0,343,814673,296.1,66.5,80,68.0,1.771,50.0,32,4.0,207.0,619.0,134.0,3.764,248.0,134
128,Shawn Stefani,25,76,15,2,0,374,798831,295.9,61.9,81,70.0,1.767,52.9,38,6.0,294.0,873.0,174.0,3.8680000000000003,228.0,135
129,Robert Streb,28,72,12,2,0,372,796525,288.7,60.9,144,66.1,1.784,46.7,32,6.0,247.0,844.0,176.0,3.431,216.0,136
130,Seamus Power,27,72,13,2,0,308,773976,295.9,56.3,83,62.2,1.794,56.6,33,10.0,232.0,828.0,198.0,3.222,130.0,137
131,Ted Potter Jr.,23,71,14,1,0,291,757721,281.4,63.2,179,66.4,1.7619999999999998,41.8,36,2.0,271.0,775.0,190.0,3.8169999999999997,639.0,138
132,Ryan Blaum,28,82,18,1,0,323,755802,289.2,62.5,140,65.0,1.746,49.6,36,5.0,309.0,925.0,214.0,3.7680000000000002,295.0,139
133,Daniel Berger,20,66,15,1,0,361,742340,301.0,65.5,44,65.2,1.7619999999999998,56.2,26,1.0,246.0,761.0,167.0,3.727,1188.0,141
